Date,Location,Flight & Transit Details,Accommodation (2 Rooms),Activity,Total Cost,Booking Notes,itinerary
"Tue, July 14",Bangkok,,"The Berkeley Hotel Pratunam, 559 Ratchathewi, Pratunam, Bangkok, Thailand, 1040",,,Anne: Wat Pho massage at 8 AM opening (register first — minimal wait vs 60–120 min at midday). Cash only. Tue = weekday, good for short queues.,"6:45 AM: Quick breakfast at hotel (or grab-and-go — hotel restaurant may open later).

7:00 AM: Grab to Wat Pho (~15–20 min from Pratunam).

8:00 AM: Arrive Wat Pho at opening (temple & massage pavilion open 8:00 AM). Anne registers at the Wat Pho Thai Traditional Medical & Massage School pavilion immediately — before touring. Tip from TripAdvisor & travel forums: register first, get a numbered ticket, then explore while waiting if needed; at opening on a weekday (Tue) wait is often minimal or zero.

8:15 AM - 9:15 AM: Anne — 1-hour traditional Thai massage (~520 THB / ~€14; 30 min 340 THB). Cash only. Wear loose modest clothing. Avoid 11 AM–2 PM peak queue (60–120+ min waits reported on TripAdvisor).

9:15 AM - 10:30 AM: Wat Pho & Reclining Buddha (Temple of the Reclining Buddha). Admission ~300 THB. Early morning = quieter halls and better photos before tour groups arrive ~10 AM.

10:45 AM: Walk to Grand Palace complex (~5 min).

11:00 AM: Grand Palace & Wat Phra Kaew (Temple of the Emerald Buddha). Open until 3:30 PM; admission 500 THB. Dress modestly.

12:30 PM: Lunch near Grand Palace area.

2:00 PM: Grab back to hotel to rest (~15 min).

4:00 PM onwards: Relax at hotel, pool, light dinner or evening stroll.

8:30 PM: Early dinner or rest for next day"
"Wed, July 15",Bangkok → Da Nang,"Private transfer in minivan from hotel to airport
Flight from Bangkok to Da Nang
Flight EK370 - 20:10-21:50
Emirates
Private transfer in minivan from airport to hotel",Peninsula Hotel Da Nang,,€813.03,"Flight €208.62 — used airmiles towards this fare (saving €47). 4 cabin bags: 55 x 38 x 22cm · Max weight 7kg. 4 checked bags: Max weight 25kg. Choose seats for free 48 hours before the flight.
Hotel transfer to airport: Hoppa ref G2561422 (return transfer).
Airport transfer to hotel: Hoppa ref G2561431 (€12.27).
Peninsula Hotel €592.14 — booked, not yet paid. 2 rooms, breakfast included.","8:00 AM: Hotel breakfast

9:00 AM: MBK Center (Mahboonkrong) - the famous fake goods mall Find fake jerseys (200-800 THB / €5.48-€21.92 after haggling), designer clothes, and high-quality replica bags (2,000-4,600 THB / €54.79-€126.03). Haggling strategy: Start at 65% of asking price. Floors 1-3 focus on clothing, shoes, bags. Takes 1.5-2 hours to explore. MBK is centrally located, ~15 min Grab from hotel (100-150 THB / €2.74-€4.11).

11:00 AM: Quick last-minute shopping at Terminal 21 (Pop Mart or favorites) or return to hotel. Easy MRT access (~5 min from hotel, 15-20 THB / €0.41-€0.55).

12:30 PM: Early lunch near hotel or airport area

2:00 PM: Pack, check out

4:35 PM: Pickup from hotel — private minivan to airport (Hoppa ref G2561422).

8:10 PM: Flight EK370 depart Bangkok for Da Nang.

9:50 PM: Land Da Nang. Airport pickup; private minivan to hotel (Hoppa ref G2561431).

12:30 AM onwards: Check in Peninsula Hotel Da Nang, rest"
"Thu, July 16",Da Nang,Hotel Night 2,Peninsula Hotel Da Nang,,,Golden Bridge,"7:00 AM: Hotel breakfast

10:45 AM: Grab to My Khe Beach (~15 min, ~150,000 VND / €6)

11:00 AM - 12:30 PM: My Khe Beach – One of the world's most beautiful beaches with soft white sand and calm waters. Walk along the shoreline.

12:30 PM: Lunch at beachside restaurant

2:00 PM: Lady Buddha (Linh Ung Pagoda at Son Tra Peninsula) Perched on hillside 67 meters above ground with commanding sea views and city panoramas. Spiritual and photogenic location. ~45 min drive from beach. ~250,000 VND entry (~€10). This is one of Ken Abroad's recommended must-see spots for photography.

4:00 PM: Return to Da Nang city center (~20 min)

4:30 PM - 5:15 PM: Marble Mountains & Am Phu Cave Five limestone mountains symbolizing five elements (Earth, Water, Fire, Metal, Wood). Explore the cave system with Buddhist sculptures depicting heaven/hell scenes, complemented by light and sound effects. ~20-30 min cave tour (less strenuous than climbing full mountains). ~100,000 VND (~€4).

5:30 PM - 6:30 PM: Local Market Exploration (Han Market or Con Market) Ken Abroad recommends experiencing authentic Da Nang beyond major tourist attractions. Browse local produce, street food, souvenirs. Immerse in Vietnamese daily life. Free entry.

6:30 PM - 7:00 PM: Street Food & Vietnamese Egg Coffee – Grab street snacks at local cafes; visit local coffee shops (Vietnamese egg coffee ~40,000 VND / €1.60).

7:00 PM - 7:45 PM: Riverfront Walk – Stroll Da Nang's riverside promenade, watch sunset over Han River. Free. ~45 min.

8:00 PM: Return to hotel, rest/pool time

8:30 PM: Dinner at Peninsula Hotel restaurant or explore local dining district"
"Fri, July 17",Da Nang,"Private car transfer from hotel to Sun World Ba Na Hills with Minh Vu Travel
Hotel Night 3",Peninsula Hotel Da Nang,,€13.19,"Booked and paid for through Minh Vu Travel.
Activities: 
Solar Castle (Pop Mart Flagship at Ba Na Hills) 3:00–4:30 PM; 
Golden Bridge photography before tour crowds.","7:00 AM pickup booked from the hotel in a 6/7-seater MPV, to beat the crowds for the cable car and get good photos of the Golden Bridge without too many people.

7:15 AM: Early breakfast at hotel (get to Golden Bridge before tour crowds arrive)

9:00 AM: Arrive Sun World Ba Na Hills - Cable Car ascent Take the Hoi An (05) ground station cable car—CNN-ranked among 10 most impressive cable-car systems in the world. 360-degree mountain views; on clear days see Da Nang and the sea. Full-day ticket includes all attractions. ~500,000 VND (~€20) adults; children discounts available.

10:00 AM: Golden Bridge: Early morning (you'll be here by 10 AM—before peak crowds 11 AM-3 PM). Perfect for Instagram/memory shots. Spend 30-45 min for photos and exploration.

11:00 AM: Explore Middle Level attractions while crowds build downstairs:
Flower Gardens – Picturesque botanical gardens, great for photo ops
Linh Ung Pagoda – Golden Buddhist pagoda with cultural significance
Wine Cellar – Unique underground attraction

1:00 PM: Lunch at Ba Na Hills Restaurant (Buffet included with ticket)

2:00 PM: Fantasy Park (included with Ba Na Hills ticket) Perfect for younger visitors:
Dinosaur Park – Interactive museum with dinosaurs
Roller Coaster – Alpine Coaster ride (thrilling but not extreme)
Arcade games – 90+ free games
Jurassic Park – Adventure zone
Wax Museum – 40+ celebrity wax statues

3:00-4:30 PM: Solar Castle (Pop Mart Flagship at Ba Na Hills) — world's largest Pop Mart store. Standard blind boxes ~150,000-400,000 VND (€6-€16); premium/limited editions ~400,000-1,000,000 VND (€16-€40). Allow 1.5-2 hours for proper browsing.

4:30 PM: Explore French Village at Morin Station – European-style architecture, charming photo spots

5:30 PM: Cable car descent back to ground level (spectacular sunset views possible)

6:30 PM: Return to Da Nang via taxi (~50 min, ~800,000 VND / €32)

7:30 PM: Quick dinner at hotel or nearby restaurant (~30 min)

8:30 PM onwards: EARLY REST – Retire to hotel to rest before Dragon Bridge evening show. Critical rest period after 12-hour day.

9:00 PM - 9:45 PM: Dragon Bridge Fire & Water Show Walk/Grab to Dragon Bridge (Cầu Rồng) located in Da Nang city center (~10 min from most locations). The iconic bridge breathes fire and sprays water during evening shows (typically 9 PM and 10 PM nightly). Spectacular nighttime photography opportunity with bridge illuminated. Free to view from bridge/riverbank. The fire breathing is most dramatic and best framed from the north side of the bridge.

10:00 PM: Return to hotel, rest"
"Sat, July 18",Hoi An,45-min private transfer from Da Nang to Hoi An with Minh Vu Travel,Little Hoi An. A Boutique Hotel & Spa,,€437.43,"Transfer booked and paid for 16-seater van (Minh Vu Travel, €17.29).
Hotel booked and paid with Revolut Stays (€420.14).
David: Suit fitting at La Vang Golden Leaf Tailor Shop (441 Cua Dai St — Grab ~5 min from hotel; ask for Autumn).","7:30 AM: Hotel breakfast at Peninsula Da Nang, check out & store bags if needed.

8:00 AM: Grab to My Khe Beach (~15 min).

8:30 AM - 10:30 AM: My Khe Beach — morning swim and walk along the shoreline before heading to Hoi An.

10:45 AM: Grab back to hotel, collect bags.

12:00 PM: Pickup from Da Nang hotel — private transfer to Hoi An (~45 min, Minh Vu Travel).

1:00 PM: Arrive Little Hoi An. A Boutique Hotel & Spa, check in, freshen up

2:00 PM: Lunch at hotel or nearby

3:00 PM - 4:30 PM: La Vang Golden Leaf Tailor Shop (441 Cua Dai St, near Cua Dai Beach — Grab ~5 min) — David's suit consultation, fabric selection & measurements with Autumn. Allow 2–3 days for 2 fittings; 24–48 hr turnaround typical (est. €110–€220 for quality wool 2-piece; 3-piece ~€140–€280).

5:00 PM: Hoi An Ancient Town exploration. Stroll through: Japanese Covered Bridge, yellow buildings, local markets, shophouses.

6:00 PM: Sunset photography walk along the riverside.

7:30 PM: Dinner at hotel or local restaurant"
"Sun, July 19",Hoi An,Hotel Night 2,Little Hoi An. A Boutique Hotel & Spa,,,Hoi An Ancient Town,"6:00 AM: Sunrise Photography Tour (early departure for best light) Hire professional guide (~€40-60 family) or go independently. Early morning (6:00-7:30 AM) offers soft light without crowds.
Photograph golden fishing nets – iconic Hoi An riverside feature
Local morning market – vibrant atmosphere, friendly vendors, Vietnamese breakfast
Riverside charm – fishermen with nets, traditional boats

8:30 AM: Vietnamese breakfast & aromatic coffee at market cafe (~50,000 VND / €2)

9:30 AM: Return to hotel, rest/shower

10:30 AM - 11:30 AM: La Vang Golden Leaf Tailor Shop — David's first suit fitting (alterations from yesterday's measurements).

12:00 PM: Hoi An Ancient Town (Full Exploration) UNESCO World Heritage Site dating to 15th century. Perfect photography day in daylight.
Japanese Bridge – architectural marvel with views
Assembly Halls – historic gathering places with intricate details
Old Houses – 18th-century merchant homes showcasing period architecture
Incense Hall – Buddhist temple with massive incense coils creating spiral patterns (photograph from above for best composition)
Hidden corners – small alleyways with colorful doorways, lanterns
Hoi An Market – local produce, seafood, textiles

12:30 PM: Lunch at local restaurant – Cao lau (Hoi An specialty noodle dish, ~80,000 VND / €3.20) or White Rose dumplings (~100,000 VND / €4)

2:00 PM: Continue Ancient Town exploration or visit specialty shops:
Fabric & Lantern Shops – browse textile options for tailoring projects
Art galleries – local artwork, prints
Coffee shops – experience traditional Vietnamese egg coffee (~40,000 VND / €1.60)

4:00 PM: Return to hotel, rest/pool time

6:30 PM: Blue Hour Photography Walk (sunset to twilight, ~30-45 min before full darkness) This is the magical ""lantern light"" hour. 
Note: Evening (7-9 PM) becomes extremely crowded with tourists during full moon festival, but less so on regular days.

7:30 PM: Dinner at riverside restaurant for evening ambiance"
"Mon, July 20",Hoi An,Hotel Night 3,Little Hoi An. A Boutique Hotel & Spa,,,"David: La Vang Golden Leaf final fitting & suit pickup.
Cam Thanh basket boat tour; lantern photography at blue hour in the Ancient Town.","8:00 AM: Hotel breakfast

9:00 AM - 10:00 AM: La Vang Golden Leaf Tailor Shop — David's second (final) suit fitting & pickup.

12:00 PM: Lunch at local restaurant near tailoring shop

2:00 PM - 5:00 PM: Cam Thanh Basket Boat Tour

Transfer from hotel to Cam Thanh Fishing Village (~15 min drive, included in tour)

Tour Highlights:
Welcome at local fisherman's family house; learn about their daily life
Bamboo Basket Boat ride through Cam Thanh River & Bay Mau Coconut Forest
Navigate small canals of mangrove forest & coconut palms
Learn traditional fishing techniques – watching fishermen, trying to cast nets
Paddling experience – try rowing the basket boat yourself
Basket boat race – competitive paddling fun
Catch fish/crabs – use simple traditional tools
Welcome drink at fisherman's house (~free coconut drink)
Lunch – local food included (~12:00 PM or after tour)
Cost: ~€12-18 per person family rate; GetYourGuide/Klook offers discounts

5:30 PM: Return to hotel, freshen up

7:00 PM: Early dinner or rest

8:00 PM: Evening – LANTERN PHOTOGRAPHY AT ANCIENT TOWN

Return to hotel by 9:00 PM, pack for Tuesday departure
"
"Tue, July 21",Hanoi,"Private minivan transfer to airport
Flight from Da Nang to Hanoi
Private minivan transfer from airport",Peridot Grand Luxury Boutique Hotel,,€545.22,"Hotel transfer to airport: Hoppa ref G2561557 (€15.90). 7:50 AM pickup from hotel.
Flight €275.00 — booked and paid. 11:35-13:00, Terminal 1.
Airport transfer to hotel: Hoppa ref G2561839 (€16.82). 1 PM pickup from airport.
Peridot Grand €237.50 — booked and paid on Revolut Stays. Breakfast included.
Anne: head spa at NonLa Healing Spa (book Combo 2 online).","7:50 AM: Pickup from Hoi An hotel — private minivan to Da Nang airport (Hoppa ref G2561557).

11:35 AM-1:00 PM: Flight DAD → HAN (Vietnam Airlines, Terminal 1). 4× 10kg hand luggage; 4× 23kg checked luggage.

1:00 PM: Land Hanoi. Airport pickup; private minivan to hotel (Hoppa ref G2561839).

2:30 PM: Check in Peridot Grand Luxury Boutique Hotel, freshen up.

3:30 PM - 5:30 PM: Anne — NonLa Healing Spa (21 Thuoc Bac, Old Quarter — ~8 min walk from hotel). Combo 2 head spa: relaxing herbal hair wash, avocado hair mask & neck/shoulder/nape massage (~90 min, 650,000 VND / ~€24). Japanese-style scalp treatment; book at nonlahealingspa.com or WhatsApp +84 98 992 6189. Open 10 AM–10 PM.

6:00 PM: Light dinner near hotel or short Old Quarter stroll.

Early night — Halong Bay cruise transfer tomorrow."
"Wed, July 22",Halong Bay,Transfer from Hanoi to Halong Bay (to be booked),Azura Cruise Halong Bay,,"€1,197.00",Azura Cruise 3D2N Lan Ha Bay. Cruise booked and paid — includes all meals, not drinks. Transfers to be booked.,"Morning: Transfer from Peridot Grand, 33 Duong Thanh to Tuan Chau Marina (~3 hr / ~170 km). Transfers to be booked — aim for Lot 38 / Waiting Lounge 038, Tuan Chau International Marina by 11:30–11:45 AM.
11:30 AM: Arrive Tuan Chau Wharf; speedboat tender to Azura Cruise.
12:30–12:45 PM: Check-in — welcome drink, cold towel, safety briefing, cabin keys.
1:00 PM: Lunch in onboard restaurant (included — Vietnamese–Western fusion buffet/set menu; fresh seafood) while cruising Halong Bay into Lan Ha Bay.
2:30–4:30 PM: Ao Ech Lagoon (Frog Pond) — choose swimming in open sea or floating pool, panoramic deck pool, or kayaking in calm lagoon (all included; life vests provided).
5:30–6:30 PM: Sunset party on sundeck — complimentary hot tea, jacuzzi, sunbathing & photos. Happy Hour at bar: buy 2 drinks, get 1 free (drinks not included in fare).
6:15 PM: Vietnamese cooking class with ship chef (included).
7:15 PM: Dinner in restaurant (included — multi-course Asian–European fusion; vegetarian options on request).
8:45 PM: Evening free time — karaoke, live music, night squid fishing (included), open-air bar (drinks paid), onboard spa/sauna (paid — book with Cruise Manager), movie, or relax in cabin.
Overnight anchored on Lan Ha Bay. Free: Wi-Fi, gym, panoramic pool."
"Thu, July 23",Ha Long Bay,Cruise Night 2,Azura Cruise Halong Bay,,,"Meals included today: breakfast buffet + lunch + dinner. Drinks not included. Bring cash & comfortable shoes for Viet Hai cycling; swimwear for Ba Trai Dao.","6:30 AM: Sunrise Tai Chi on sundeck (included — great for photography) or gym session (free, panoramic views).
7:00 AM: Breakfast buffet in restaurant (included — sandwiches, pastries, eggs, ham, sausage, fruit, coffee/tea).
8:15 AM: Tender boat to Cat Ba Island.
9:45 AM–12:00 PM: Viet Hai Village (Cat Ba National Park) — cycle or electric cart ~4 km into the valley village; rice fields, buffalos, local school, meet villagers & traditional crafts (included; optional fish-foot massage at natural pond — own expense).
12:00–1:00 PM: Lunch onboard (included).
1:30–3:30 PM: Ba Trai Dao (Three Peaches) Beach area — kayak, swim & sunbathe on secluded beach (included; weather permitting).
3:30 PM: Return to main cruise; relax on sundeck.
5:30–6:30 PM: Mini cooking class, Happy Hour & jacuzzi (buy 2 drinks, get 1 free at bar).
7:15 PM: Dinner in restaurant (included).
8:45 PM: Evening — karaoke, squid fishing, bar (drinks paid), spa (paid), or stargazing on deck.
Overnight on Lan Ha Bay."
"Fri, July 24",Hanoi,Transfer from Halong Bay to Hanoi (to be booked),Proverb Hotel,,€402.47,Booked and paid for. Includes breakfast at Proverb. Transfers to be booked.,"6:30 AM: Tai Chi on sundeck or sunrise photography from top deck / gym.
7:00–7:30 AM: Light breakfast in restaurant (included).
7:30–8:30 AM: Dark & Bright Cave (Sang Toi Cave) — kayak on your own or bamboo boat with local rower (included).
9:30 AM: Check out of cabin; settle any drink/spa bills.
9:30–9:45 AM: Brunch in restaurant while Azura sails back to Tuan Chau Marina (included).
10:30–10:45 AM: Tender speedboat from Azura to Tuan Chau pier.
11:15 AM: Disembark — arrive Lot 38 / Waiting Lounge 038, Tuan Chau International Marina, Tuan Chau Island. Tour guide assists with luggage.
11:45 AM–12:00 PM: Transfer to Hanoi — to be booked (~2.5–3 hrs to Proverb Hotel, 21 Bat Su St, Hoan Kiem).
12:00–3:00 PM: Drive to Hanoi via expressway (~170 km).
3:00–4:00 PM: Arrive Proverb Hotel; check in when room ready (official check-in often from 2 PM). Freshen up.

5:00 PM: Old Quarter Walking Tour (self-guided or hire guide ~€15-20) Explore:

Narrow alleyways – 36 Streets of Hanoi, each traditionally dedicated to one trade

St Joseph's Cathedral – Iconic Gothic cathedral (exterior photography)

Vietnamese Women's Museum – Cultural insight (if time permits; may save for tomorrow)

Street food tasting – Grab local snacks (pho, banh mi, spring rolls) ~50,000-100,000 VND (~€2-4)

6:30 PM: Hoan Kiem Lake sunset walk Beautiful lakeside park with locals exercising, feeding turtles. Perfect photography light during golden hour. Free entry. ~30-45 min stroll.

7:30 PM: Dinner – Traditional Vietnamese restaurant in Old Quarter (~150,000-200,000 VND / €6-8 per person)

8:30 PM: Return to hotel, rest "
